StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q5,Q5_DO,Q8,Q8_DO,Q60_1,Q60_2,Q61_1,Q61_2,Q14_1,Q14_2,Q58_1,Q58_2,Q16,Q62_1,Q62_2,Q69_1,Q69_2,Q65_1,Q65_2,Q63_1,Q63_2,Q27,Q70_1,Q70_2,Q68_1,Q68_2,Q67_1,Q67_2,Q71_1,Q71_2,Q43,Q72_1,Q72_2,Q73_1,Q73_2,Q88_1,Q88_2,Q81_1,Q81_2,Q49,Q80_1,Q80_2,Q75_1,Q75_2,Q78_1,Q78_2,Q83_1,Q83_2,Q57,Q82_1,Q82_2,Q85_1,Q85_2,Q84_1,Q84_2,Q77_1,Q77_2,Q63,Q19,Q19_6_TEXT,Q13,Q15,Q14,FL_3_DO,FL_22_DO,FL_26_DO,FL_27_DO,FL_28_DO,PetitionPair1-AB_DO,PetitionPair1-CD_DO,PetitionPair2-AC_DO,PetitionPair2-BD_DO,PetitionPair3-A/D_DO,PetitionPair3-B/C_DO
2025-03-27 09:32:21,2025-03-27 09:40:35,0,*******,100,494,1,2025-03-27 09:40:36,R_7qWqQ6vgCLfDIS3,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"1,2,3,4,5",1|3|2|4|5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,4,4,4,2,2,2,4,4,2,2,4,4,4,5,1,"1,3,4",,5,,4,AI-Primed,FL_28,,,PetitionPair3-B/C|PetitionPair3-A/D,,,,,Q61|Q80|Q75|Q53|Q78|Q83|Q57,Q55|Q82|Q85|Q59|Q84|Q77|Q63
2025-03-27 09:51:08,2025-03-27 10:03:56,0,*******,100,767,1,2025-03-27 10:03:56,R_12ndhozUV7orQIh,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"1,2,3,4,5",2|4|3|5|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,5,4,5,5,5,2,5,5,5,5,3,4,3,4,1,"3,4,6",Putting a plan for action and not just saying the issues is important for petitions I think,4,"I think Ai is fine to use because some people have good ideas but sometimes have bad ways of getting the words out and the Ai can be used to make a idea that might have otherwise been put in a misunderstanding way, into a elegant peice of litirature with proper grammar and all. I think as long as the original sentiment and like idea that the person had is part of the work it dosnt matter if they or Ai made it",5,AI-Primed,FL_28,,,PetitionPair3-A/D|PetitionPair3-B/C,,,,,Q53|Q80|Q75|Q61|Q78|Q83|Q57,Q55|Q82|Q85|Q59|Q84|Q77|Q63
2025-03-27 10:20:58,2025-03-27 11:12:36,0,*******,100,3097,1,2025-03-27 11:12:36,R_7I40AYWkLg9V8f6,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"1,2,3,4,5",3|2|1|4|5,4,,4,4,2,4,4,2,2,4,4,4,2,5,4,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,2,4,5",,4,,5,Control,FL_26,PetitionPair1-CD|PetitionPair1-AB,,,Q12|Q60|Q61|Q15|Q14|Q58|Q16,Q25|Q62|Q69|Q24|Q65|Q63|Q27,,,,
2025-03-27 15:06:58,2025-03-27 15:15:25,0,*******,100,506,1,2025-03-27 15:15:26,R_6xJpELVTLUNbfZs,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"1,2,3,4",4|2|3|5|1,4,3,4,4,4,4,2,4,2,4,4,2,4,4,3,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,5",,2,"I do not, but thank you for asking",3,Control,FL_26,PetitionPair1-CD|PetitionPair1-AB,,,Q15|Q60|Q61|Q12|Q14|Q58|Q16,Q24|Q62|Q69|Q25|Q65|Q63|Q27,,,,
2025-03-27 15:07:38,2025-03-27 15:26:42,0,*******,100,1144,1,2025-03-27 15:26:42,R_3INkO6tecxTGvtf,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"1,2,4",4|3|1|5|2,,,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,4",,4,,5,AI-Primed,FL_26,PetitionPair1-CD|PetitionPair1-AB,,,Q15|Q60|Q61|Q12|Q14|Q58|Q16,Q25|Q62|Q69|Q24|Q65|Q63|Q27,,,,
2025-03-27 15:08:55,2025-03-27 15:35:17,0,*******,100,1581,1,2025-03-27 15:35:18,R_7NSIqwNGOCEyqgp,*******,*******,*******,*******,*******,*******,anonymous,EN,1,4,3|2|5|1|4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,2,4,1,4,2,,,,,,,5,4,1,1,,4,Nope!,1,AI-Primed,FL_28,,,PetitionPair3-B/C|PetitionPair3-A/D,,,,,Q53|Q80|Q75|Q61|Q78|Q83|Q57,Q55|Q82|Q85|Q59|Q84|Q77|Q63
2025-03-27 10:30:22,2025-03-27 10:32:30,0,*******,67,128,0,2025-04-03 10:32:38,R_1ctlD7GnVCAk8xT,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"2,3,4",2|5|4|1|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,FL_26,PetitionPair1-CD|PetitionPair1-AB,,,,Q24|Q62|Q69|Q25|Q65|Q63|Q27,,,,
2025-03-27 13:26:06,2025-03-27 13:29:39,0,*******,67,213,0,2025-04-03 13:29:45,R_6zLOIBqQIM4BRGU,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,1|4|5|2|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI-Primed,FL_27,,PetitionPair2-BD|PetitionPair2-AC,,,,,Q47|Q72|Q73|Q41|QID82|Q81|Q49,,
2025-04-04 14:03:04,2025-04-04 14:03:27,1,*******,100,23,1,2025-04-04 14:03:27,R_1gbgNSqJqDJ7NiG,*******,*******,*******,*******,*******,*******,preview,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-04 14:04:04,2025-04-04 14:27:24,0,*******,100,1399,1,2025-04-04 14:27:25,R_6QKn10b9uYbJteV,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"1,2",5|3|2|1|4,,,,,,,,,,,,,,,,,,,5,5,4,5,5,5,4,5,2,4,4,4,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,"1,5",,4,"For grammatical polishing and/or to help phrase a concept to be clearer ",4,Control,FL_27,,PetitionPair2-AC|PetitionPair2-BD,,,,Q45|Q70|Q68|Q39|Q67|Q71|Q43,Q47|Q72|Q73|Q41|Q81|Q49|Q88,,
2025-04-08 07:57:52,2025-04-08 08:12:41,1,*******,100,889,1,2025-04-08 08:12:42,R_31an3gtXcAyYY4k,*******,*******,*******,*******,*******,*******,preview,EN,1,"2,4",5|3|2|1|4,,,,,,,,,,,,,,,,,,,,,4,4,3,3,4,4,4,4,1,3,3,4,4,3,3,3,3,2,,,,,,,,,,,,,,,,,,,1,,5,xyz,2,AI-Primed,FL_27,,PetitionPair2-BD|PetitionPair2-AC,,,,Q45|Q70|Q68|Q39|Q67|Q71|Q43,Q41|Q72|Q73|Q47|Q81|Q49|Q88,,
2025-04-08 08:18:06,2025-04-08 08:18:15,1,*******,100,8,1,2025-04-08 08:18:15,R_6jP91SzF51BPPe9,*******,*******,*******,*******,*******,*******,preview,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-08 08:18:19,2025-04-08 08:20:33,1,*******,100,134,1,2025-04-08 08:20:33,R_67z8kER3Zcl3WOl,*******,*******,*******,*******,*******,*******,preview,EN,1,,,"1,2",2|5|1|4|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,2,2,,3,xxxx,2,Control,FL_28,,,PetitionPair3-A/D|PetitionPair3-B/C,,,,,Q53|Q80|Q75|Q61|Q78|Q83|Q57,Q59|Q82|Q85|Q55|Q84|Q77|Q63
2025-04-15 13:41:51,2025-04-15 13:42:47,0,*******,100,55,1,2025-04-15 13:42:47,R_5bHryc0OvEMmniO,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"3,4,5",4|5|3|2|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,1,4,,4,,1,Control,FL_28,,,PetitionPair3-B/C|PetitionPair3-A/D,,,,,Q61|Q80|Q75|Q53|Q78|Q83|Q57,Q59|Q82|Q85|Q55|Q84|Q77|Q63
2025-04-15 13:41:04,2025-04-15 13:46:29,0,*******,100,324,1,2025-04-15 13:46:29,R_6CHtt9hI2VdzsTE,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"2,4",2|1|3|5|4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,2,5,2,1,2,1,4,5,2,4,2,5,3,5,2,"1,2,3,5",,5,,1,AI-Primed,FL_28,,,PetitionPair3-B/C|PetitionPair3-A/D,,,,,Q61|Q80|Q75|Q53|Q78|Q83|Q57,Q59|Q82|Q85|Q55|Q84|Q77|Q63
2025-04-15 13:42:09,2025-04-15 13:52:02,0,*******,100,593,1,2025-04-15 13:52:02,R_5Ogo09lv4gDAy0V,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"2,4",5|1|4|2|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,4,3,4,5,3,1,3,5,2,5,2,2,2,2,1,"3,4",,3,,2,Control,FL_28,,,PetitionPair3-A/D|PetitionPair3-B/C,,,,,Q61|Q80|Q75|Q53|Q78|Q83|Q57,Q55|Q82|Q85|Q59|Q84|Q77|Q63
2025-04-15 13:42:16,2025-04-15 13:53:56,0,*******,100,699,1,2025-04-15 13:53:57,R_3Tmt9Gm7ZO1aMiR,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"2,4",2|4|3|5|1,,,5,5,5,5,5,5,4,4,2,5,5,4,4,5,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,2,5",,4,,4,AI-Primed,FL_26,PetitionPair1-CD|PetitionPair1-AB,,,Q15|Q60|Q61|Q12|Q14|Q58|Q16,Q24|Q62|Q69|Q25|Q65|Q63|Q27,,,,
2025-04-15 13:47:31,2025-04-15 13:55:06,0,*******,100,455,1,2025-04-15 13:55:07,R_5ax9wSgqQuvOsKo,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"1,2",3|2|4|1|5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,4,4,1,1,1,1,1,4,4,3,4,3,5,5,5,2,"1,2,3,4,5",,4,,4,Control,FL_28,,,PetitionPair3-B/C|PetitionPair3-A/D,,,,,Q53|Q80|Q75|Q61|Q78|Q83|Q57,Q59|Q82|Q85|Q55|Q84|Q77|Q63
2025-04-15 13:48:40,2025-04-15 13:55:17,0,*******,100,396,1,2025-04-15 13:55:17,R_7ncoEmQL2LKWcYX,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"2,4",5|1|3|4|2,,,5,4,3,4,5,5,4,4,2,5,4,4,4,5,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,5",,2,none,1,AI-Primed,FL_26,PetitionPair1-AB|PetitionPair1-CD,,,Q15|Q60|Q61|Q12|Q14|Q58|Q16,Q24|Q62|Q69|Q25|Q65|Q63|Q27,,,,
2025-04-15 13:52:09,2025-04-15 13:59:14,0,*******,100,424,1,2025-04-15 13:59:14,R_6AmngCT2PapQfN7,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"1,2",4|3|1|2|5,,,,,,,,,,,,,,,,,,,4,5,4,4,4,4,4,4,2,4,3,4,4,5,4,4,4,2,,,,,,,,,,,,,,,,,,,"3,4,5",,2,"I think AI is good, but sometimes tone can be odd in AI writing which is where you can change words around to make it appealable to potential signers.",5,Control,FL_27,,PetitionPair2-AC|PetitionPair2-BD,,,,Q45|Q70|Q68|Q39|Q67|Q71|Q43,Q41|Q72|Q73|Q47|Q81|Q88|Q49,,
2025-04-15 13:58:41,2025-04-15 14:01:50,0,*******,100,188,1,2025-04-15 14:01:50,R_6D7m5OCYygYvzIl,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"1,2",1|5|3|4|2,,,,,,,,,,,,,,,,,,,3,5,4,4,3,5,4,4,2,3,2,2,2,4,4,4,4,1,,,,,,,,,,,,,,,,,,,"1,3,4,5",,3,,3,Control,FL_27,,PetitionPair2-AC|PetitionPair2-BD,,,,Q45|Q70|Q68|Q39|Q67|Q71|Q43,Q41|Q72|Q73|Q47|Q81|Q88|Q49,,
2025-04-15 13:44:22,2025-04-15 14:03:03,0,*******,100,1121,1,2025-04-15 14:03:04,R_1f2oEvYcDzzhoxE,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"1,4",1|4|2|5|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,3,4,3,4,5,2,3,4,2,4,4,4,4,3,2,2,,5,,4,AI-Primed,FL_28,,,PetitionPair3-A/D|PetitionPair3-B/C,,,,,Q61|Q80|Q75|Q53|Q78|Q83|Q57,Q59|Q82|Q85|Q55|Q84|Q77|Q63
2025-04-15 14:00:37,2025-04-15 14:04:26,0,*******,100,229,1,2025-04-15 14:04:26,R_7lYXdsZ9NtWP2LS,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"1,2",3|5|1|2|4,3,3,3,2,4,4,4,2,2,3,4,4,2,4,5,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,3,5",,4,,3,Control,FL_26,PetitionPair1-CD|PetitionPair1-AB,,,Q15|Q60|Q61|Q12|Q14|Q58|Q16,Q25|Q62|Q69|Q24|Q65|Q63|Q27,,,,
2025-04-15 13:51:34,2025-04-15 14:05:17,0,*******,100,822,1,2025-04-15 14:05:17,R_62VjCa3lMTrK0Q6,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"2,4",3|4|2|1|5,,,,,,,,,,,,,,,,,,,,,4,5,4,4,5,5,5,5,1,5,5,4,5,4,4,5,5,3,,,,,,,,,,,,,,,,,,,"3,4,5",,4,,3,AI-Primed,FL_27,,PetitionPair2-BD|PetitionPair2-AC,,,,Q45|Q70|Q68|Q39|Q67|Q71|Q43,Q41|Q72|Q73|Q47|Q81|Q88|Q49,,
